id,customer_name,amount,purchase_date
215,Kelsey Castro,36541.69,2023-11-16
216,Charles Acevedo,1576.75,2024-08-08
217,Ashley Rhodes,20723.39,2025-06-02
218,Kylie Phillips,22030.88,2024-05-28
219,Jacqueline Schwartz,40144.67,2024-11-04
220,NULL,1504.93,2025-07-05
221,Ruth Thomas,69558.86,2025-02-11
222,Nicholas Armstrong,47653.98,2023-11-14
223,Sabrina Monroe,47292.66,2024-06-16
224,Jeremy Baker,41284.13,2024-09-02
225,William Bishop,29593.06,2023-08-13
226,Eric Brooks,40326.72,2025-05-12
227,Bianca Allen,79219.82,2025-05-04
228,Heather Duke,NULL,2024-06-15
229,Thomas Buck,49609.27,2023-10-04
230,Kenneth Contreras MD,35782.47,2024-10-16
231,Amanda Gonzalez,3815.07,2025-02-07
232,Ana Gallagher,29599.63,2025-04-27
233,Brian Gonzalez,58289.41,2024-08-27
234,Anita Weaver,48548.92,2025-02-22
235,Carolyn Jones,52180.53,2024-08-24
236,Jason Freeman,67047.16,2023-10-06
237,Jacob Martinez,NULL,2025-07-31
238,Ryan Ortiz,68517.05,2023-09-29
239,Jeremy Miller,56315.84,2025-04-18
240,Dr. Emma Wright,47333.03,2024-06-28
241,Ruth Ramirez,55777.54,2024-02-21
242,Jessica Richardson,81809.94,2025-02-06
243,Alex Acosta,9196.07,NULL
244,Jo Cole,12578.57,2025-06-18
245,Lindsay Flores,65712.61,2024-02-29
246,Frank Perez,97398.80,2024-06-14
247,Kristen Wright,49655.05,2025-07-20
248,Mindy Thomas,99596.37,2025-04-10
249,Abigail Moon,48869.16,2025-04-19
250,Nancy Valenzuela,77690.67,NULL
251,Cynthia Johnson,21318.30,2023-09-08
252,Lindsay Cain,48478.83,2025-05-03
253,Kenneth Flowers,56757.17,2025-04-29
254,Christopher Rogers,NULL,2023-11-28
255,John Fleming,95489.66,2023-10-02
256,Morgan Sanchez,63915.34,2024-05-24
257,Paul Martinez,65944.04,2024-03-31
258,Raymond Barr,98115.20,2023-11-17
259,Stephen Bell,37899.45,2023-08-20
260,NULL,78052.10,2024-05-12
261,Cory Stewart,53851.63,2024-07-05
262,Victoria Nolan,NULL,2023-11-11
263,Philip Allen,97317.59,2025-02-13
264,James Morris,41781.46,NULL
265,Dana Hernandez,27016.30,2025-06-04
266,Tracy Jones,18926.23,2025-03-26
267,Willie Gonzales,89439.04,2024-07-13
268,Mr. Joshua Hernandez,47309.65,2025-01-31
269,Courtney Davis,53740.64,NULL
270,Lauren Martin,87082.49,2023-10-23
271,Gary Park,24702.25,2025-03-31
272,James Hinton,5434.65,2024-03-09
273,Christopher Soto,95703.15,2024-06-05
274,Amy Zimmerman,11073.99,2024-08-09
275,Andrea Tapia MD,3716.17,2025-04-30
276,Kerri Rodriguez,NULL,2024-10-17
277,NULL,57331.80,2024-02-22
278,Stephanie Brady,40942.78,2024-11-22
279,NULL,24554.83,2024-06-06
280,Jeremy Brown,75386.32,2025-06-20
281,Nicholas Carlson,NULL,2024-07-25
282,Eric Miller,82495.72,2024-09-26
283,NULL,10811.21,2024-09-05
284,Sierra Blake,19294.01,2024-10-23
285,Todd Hatfield,54117.93,2025-03-15
286,Devin Foster,51708.30,2024-02-25
287,Jennifer Taylor,69708.69,NULL
288,Carol Lewis,83848.42,2025-02-16
289,Sarah Jennings,28474.39,2023-08-07
290,Jennifer Schroeder,65588.03,2023-08-19
291,David Wagner,65344.07,2024-04-05
292,Jeffrey Smith,83558.50,2025-03-27
293,Victoria Osborn,48668.74,2024-02-09
294,Edward Davenport,NULL,2024-07-21
295,Kurt Pham,80441.04,2023-10-16
296,Manuel Smith,3664.89,2024-06-01
297,Matthew Grimes,87781.11,2024-04-06
298,Sara Scott,4584.92,2024-01-28
299,Steven Clarke,80121.97,2024-11-19
300,Rachel Lewis,18368.98,NULL
301,Melanie Gray,63436.87,2023-11-09
302,Jordan Howard,45372.38,2024-12-14
303,Jenny Graham,60375.03,2024-10-29
304,Tyler Rich,NULL,2023-11-11
305,Cindy Rivera,35583.58,2023-12-02
306,Stacey Cantu,754.26,2025-02-11
307,Blake Valencia,91505.68,2025-01-23
308,Matthew Long,51060.91,2023-08-13
309,Lori Williams,80013.67,2024-12-14
310,Brittany Peters,39219.82,2024-11-18
311,James Russell,90327.46,2024-12-29
312,John Acosta Jr.,45125.82,2024-12-24
313,James Gonzalez,79792.39,2025-07-11
314,Cindy Mcmillan,NULL,NULL
315,Victoria Bennett,83211.72,2025-01-26
316,Craig Curtis,43851.34,2025-03-09
317,Jessica Sanchez,NULL,2024-02-15
318,Robert Taylor,NULL,2025-05-20
319,Brandon Griffin,77380.10,2024-08-22
320,William Hayes,23437.15,2024-09-16
321,NULL,81064.07,2024-01-19
322,Michelle Martinez,83236.17,2025-03-06
323,Joshua Cummings,20828.30,2024-01-24
324,Omar Hunt,38606.25,2024-01-21
325,Elizabeth Cardenas,25715.41,2024-05-07
326,Jose Martinez,26367.45,2025-02-04
327,Mitchell Woods,52868.95,2023-12-27
328,Raven Johnson,34335.98,2024-02-13
329,Kristy Wood,43.71,2024-05-28
330,Shawn Brown,76271.03,2025-05-15
331,Henry Figueroa,NULL,2024-02-10
332,Alexander Simpson,NULL,2025-01-11
333,Anna Higgins,49913.66,2024-01-31
334,Jason Harris,19297.63,2025-02-15
335,Shawn Chapman,16842.53,2024-08-06
336,Betty Douglas,86050.12,2024-12-21
337,Steven Spencer,40218.51,2025-01-14
338,Thomas Gutierrez,81889.23,2024-05-09
339,Martin Williamson,12440.78,2024-03-06
340,Shawn Mack,62512.77,2024-09-23
341,Caitlin Hoffman MD,79029.62,2024-05-04
342,Erica Sanders,61241.30,2024-07-26
343,Caitlyn French,81898.76,2024-09-04
344,Sabrina Sutton,50603.33,NULL
345,Scott Ramos,84262.13,2023-12-09
346,Timothy Zamora,80741.20,2024-01-08
347,Brendan Hill,7467.11,2024-06-08
348,Richard Martinez,NULL,2024-02-28
349,Jessica Anderson,70540.36,2023-11-23
350,Heather Nguyen,58331.81,2025-01-30
351,Katelyn Davis,28065.56,2025-03-05
352,Destiny Hall,NULL,2025-04-11
353,Jill Simmons,65657.51,NULL
354,Dr. Tina Palmer,81317.22,2023-08-22
355,Lisa Strickland,NULL,2025-06-25
356,Cheryl Vance,NULL,2023-09-19
357,Sarah Moreno,NULL,2024-10-23
358,Craig Cox,8057.63,2025-05-09
359,Taylor Foster,83979.09,2024-10-27
360,Richard Jenkins,24681.78,2024-01-22
361,Dr. Juan Brown MD,89417.23,2024-05-22
362,Paula Sanchez,72462.64,2023-10-14
363,Jesse Rosales,55220.19,2023-08-19
364,NULL,98741.94,2024-11-18
365,Stacie Cross,96692.97,2025-07-12
366,Jodi Burke,39229.91,2025-02-24
367,Ross Baker,65322.11,NULL
368,Emma Lee,32105.91,2025-04-08
369,Holly Krueger,44332.26,2024-11-22
370,Dwayne Anderson,93414.37,2023-09-01
371,Ashley Alexander,56444.10,2024-04-07
372,Jeremy Douglas,69064.29,2023-10-30
373,Roy Jacobs,13690.18,2023-10-06
374,George Hopkins,18387.99,2024-03-17
375,Rebecca Smith MD,64427.09,2024-11-01
376,Jennifer Lane,42231.86,2025-07-19
377,Cheryl Ponce,7909.98,2024-03-19
378,Linda Alexander,45520.74,NULL
379,Zachary Castro,52503.66,2025-06-20
380,Tiffany Walton,56154.33,2024-01-03
381,Daniel Wang,76961.04,2024-04-11
382,Morgan Brown,68705.69,2023-12-16
383,Lindsay Rowland,38172.32,2025-07-10
384,Michelle Price,39868.47,2025-04-22
385,Ryan Curtis,13183.12,2025-07-31
386,Danielle Wolfe DDS,14258.94,2023-11-24
387,Amanda Robertson,40652.39,2023-10-01
388,Morgan Terrell,44672.68,2024-01-19
389,Jason Shea,77072.83,2024-05-24
390,NULL,5216.43,2024-07-22
391,John Griffin,93921.28,2023-11-13
392,Rodney Ortega,78741.52,2024-05-14
393,Kathleen Macias,78707.80,2024-11-14
394,Susan Chase,63524.25,2023-09-25
395,Angela Powell,42152.49,2023-10-07
396,Kevin Pierce,2675.27,2025-07-24
397,Joshua Brock,40858.29,2023-12-31
398,Thomas Mathis,29333.97,2025-02-06
399,NULL,NULL,2024-02-07
400,Jonathan Harris,15622.35,2024-11-04
401,Morgan Robinson,98517.27,2024-08-22
402,Christopher Ferrell,52055.38,2023-11-18
403,Jessica Fitzpatrick,49637.74,2024-03-03
404,Kayla Lee,8155.37,2025-01-03
405,William Reid,93334.33,NULL
406,James Kelly,21706.35,2024-10-05
407,Jessica Mills,2408.38,NULL
408,Amanda Olson,52012.42,2023-08-11
409,Kevin Gates,61474.53,NULL
410,Juan Martinez,33347.10,2023-12-16
411,William Guzman,67104.86,2024-11-27
412,Christine Wilson,45114.02,2024-07-16
413,Evelyn Zimmerman,60315.35,2025-02-28
414,Christopher Garcia,41324.98,2025-07-23
415,Michael Williams,NULL,NULL
416,Charles Gaines,NULL,2023-11-13
417,Maria Castro,89559.43,2023-12-31
418,Crystal Vazquez,7004.25,NULL
419,Dylan Benitez,NULL,2025-01-19
420,Carlos Gregory,64639.48,2024-06-26
421,NULL,NULL,2025-04-09
422,Christian Ramirez,73261.57,2024-11-12
423,Christopher Chang,91972.81,2025-04-14
424,Jeffrey Harrison,9204.24,2024-11-13
425,Adrienne Hill,14297.11,2025-03-29
426,Brian Hayes,90235.65,2024-12-29
427,Elizabeth Martinez,37429.03,2023-12-30
428,Katie Green,53497.07,2024-05-22
429,James Daugherty,63512.10,2024-10-16
430,Sherry Wood,35102.46,NULL
431,Timothy Jordan,6750.69,2025-05-15
432,Justin Garza,62656.39,2025-04-08
433,Brendan Burke,9047.59,NULL
434,Derek Kennedy,51692.86,2023-09-10
435,NULL,4641.91,2024-12-15
436,Guy Jenkins,58731.25,2024-07-06
437,NULL,NULL,2024-11-02
438,Adam Patterson,NULL,2025-04-20
439,NULL,23085.69,2025-03-01
440,Thomas Mitchell,29186.26,2023-11-02
441,Jennifer Houston,NULL,2023-08-03
442,NULL,34832.44,NULL
443,Melissa Baker,3496.07,2023-08-06
444,NULL,80878.34,2025-01-20
445,David Barron,61563.50,2025-06-22
446,Jane Bender,15502.00,2024-06-13
447,Bruce Foster,25220.20,2024-12-21
448,Rachel Martin,91312.83,2024-09-26
449,Amber Ferguson,14083.40,2024-01-30
450,Rose Bell,85553.43,2025-03-27
451,Dylan Rose,85673.46,2023-11-05
452,Jose Bridges,64549.60,2024-03-09
453,Kevin Potter,8498.41,2024-10-02
454,Yolanda Reed,33073.26,2024-03-22
455,NULL,65188.05,2025-03-14
456,Brett Holloway,18176.62,2025-06-05
457,Yvonne Good,72985.98,2024-02-17
458,Kimberly Gonzalez,49931.85,2025-05-22
459,Pedro Knight,80649.98,2024-07-31
460,Andrea Bryan,37577.13,2024-05-22
461,Laura Davis,82341.01,2023-11-19
462,Rickey Perez,83433.11,2024-05-01
463,Eddie Foster,45009.24,2023-11-29
464,Timothy Gonzalez,74221.16,2024-11-27
465,Andrew Cox,85485.15,2023-11-01
466,Maria Haynes,94902.58,2024-10-31
467,Jacob Vargas,77637.15,2023-11-25
468,Joel Bean,80716.70,2024-01-09
469,Brett Henderson,47911.31,NULL
470,Alyssa Williams,5835.73,NULL
471,Rodney Atkins,53803.88,2025-01-06
472,Evan Robinson Jr.,54178.00,2025-03-20
473,NULL,97906.05,2025-04-10
474,Wendy Cook,36947.99,2024-08-13
475,Jimmy Wheeler,9402.43,2024-12-16
476,David Davis,83329.12,2023-08-23
477,Donald Blake,-103.06,2025-05-26
478,Robert Brady,NULL,2024-07-04
479,Craig Barnett,43130.02,NULL
480,Chase Acosta,77684.42,2024-01-17
481,Steven Anderson,20215.96,2023-08-16
482,Melissa Bush,62678.75,2023-09-15
483,John Wilson,NULL,2023-09-26
484,Jasmine Johnson,23166.38,2025-03-10
485,Tina Smith,21648.95,2024-12-23
486,Sarah Johnston,31489.38,2023-10-09
487,Amy Greene DDS,8046.31,2025-04-08
488,Adam Ramirez,NULL,2024-01-05
489,Katie Mahoney,NULL,2024-12-29
490,James Smith,NULL,2025-02-25
491,NULL,48890.08,2024-11-06
492,Noah Holt,87093.27,2024-07-02
493,William Roberts,19027.95,NULL
494,Jennifer Snyder,89642.86,2024-06-07
495,Tamara Martinez,48767.88,2023-12-02
496,William Fisher,33238.88,2023-08-28
497,Megan Vasquez,96594.52,2025-06-24
498,Dr. Nicole Schwartz,90539.30,2023-09-30
499,Jeffrey Chaney,13618.73,2025-02-15
500,Terry Martinez,94875.56,2023-12-02
501,Christopher Williams,11564.50,2025-01-25
502,Shane Miller,1195.84,2024-01-22
503,Paula Alexander,66543.06,2025-07-23
504,Jennifer Pearson,92442.97,2023-09-12
505,Casey Bell,94998.59,2023-08-04
506,Mary Rodriguez,19774.18,2024-08-16
507,Alexis Murphy,86864.45,2024-01-09
508,Scott James,55766.36,2023-09-27
509,Randall Michael,30399.10,2024-09-08
510,Henry Williams,28993.12,2024-12-14
511,Jason Burnett,NULL,NULL
512,Teresa Sutton,81503.21,2024-08-09
513,Leslie Lewis,80293.35,NULL
514,Rachel Wong,10795.16,2024-04-20
515,Victor Ramirez,14063.68,2024-05-16
516,Margaret Palmer,39748.35,2023-10-17
517,Valerie Craig,68326.04,2023-11-13
518,Samantha Mann,49026.51,2024-05-30
519,Traci Todd,54629.77,2025-06-02
520,Amanda Kennedy,27164.71,2025-03-12
521,Christine Brown,30508.23,NULL
522,Heather Kelley,72529.83,2024-08-11
523,Lori Turner,71093.54,NULL
524,Marissa Solomon,NULL,2024-04-28
525,Michael Oliver,71064.74,2024-11-30
526,Christopher Gibson,18195.14,2024-11-19
527,Emily Flynn,27690.65,2024-03-06
528,Angela Morgan,1383.14,2024-12-24
529,Michelle Golden,76568.27,2025-05-28
530,Caleb Stevens,60718.01,2025-03-21
531,NULL,93463.09,2023-10-05
532,Samuel Barron,68783.22,2023-11-21
533,Victoria Mendoza,21845.61,2024-04-16
534,Jeremy Snyder,56562.81,2024-05-26
535,Michelle Jimenez,41062.99,2025-03-03
536,Mr. Brandon Nunez,65515.94,2025-03-30
537,Karen Austin,62221.91,2024-03-11
538,Drew Harrison,NULL,2025-07-28
539,NULL,95941.93,2025-01-02
540,Gail Mora,47589.45,2023-12-09
541,Tracy Eaton,23057.54,2024-05-11
542,Pamela Craig,68058.69,2025-05-06
543,NULL,74122.22,2025-07-28
544,Monica Davis,44901.21,2025-02-23
545,Corey Scott,78369.80,2024-11-20
546,Steven Smith,22155.47,2024-10-11
547,Stephen Martinez,97745.14,2024-01-29
548,Patricia Mckinney,77157.37,2025-03-26
549,Tom Molina,42954.83,2025-01-26
550,Cynthia Richmond,4746.96,2024-10-23
551,Ryan Larson,NULL,2023-08-02
552,Richard Hunt,49886.45,NULL
553,Charlotte Stanley,11563.05,2023-09-07
554,Beth Johnson,81098.63,2023-12-01
555,Corey Ramirez,59744.39,2025-04-13
556,Annette Garcia,86599.15,2024-10-02
557,Lawrence Daniels,52544.54,2025-06-29
558,Michael Kent,NULL,NULL
559,Danielle Cohen,NULL,2024-11-01
560,Shannon Matthews,NULL,2023-12-17
561,Kayla Lynn,69844.02,2024-05-14
562,Amanda Joyce,87853.03,NULL
563,Elizabeth Young,NULL,2025-07-30
564,Duane Dillon,80071.65,2024-12-22
565,Darrell Swanson,19931.32,2024-08-07
566,Douglas Cole,78603.70,2025-05-09
567,John Mcintosh,40840.73,2024-09-21
568,Andrew Mcdowell,5857.78,2024-05-09
569,Jason Clark,89445.22,2024-12-08
570,Sean Williams,80432.58,2025-07-12
571,Amy Cook,69062.78,2024-06-23
572,Terry Garcia,76566.54,2024-11-22
573,Aaron Anderson,NULL,2024-10-22
574,Ralph Russell,91554.44,2024-08-05
575,Chad Martin,84822.20,2024-02-01
576,Blake Lambert,54115.40,2025-04-06
577,Sandra Smith,52600.31,2025-02-17
578,Steven Rogers,53475.54,2024-05-22
579,Allison Davis,45749.10,2024-09-09
580,Amanda Edwards,NULL,2024-06-30
581,Carrie Rowe,NULL,2024-01-22
582,Jacob Smith,72817.51,2024-05-25
583,Stacy Hunt,25008.22,2024-10-23
584,Darius Soto,98178.37,2024-06-06
585,Holly Figueroa,45045.87,2024-03-02
586,Bradley Mcneil,42142.96,2023-11-05
587,Angela Horton,72907.31,2024-07-21
588,Lisa Baker,28963.80,2025-03-30
589,Sandra Garcia,43059.57,2025-02-27
590,John Garcia,74671.86,2025-05-21
591,Matthew Massey,8016.92,2024-09-18
592,Courtney Johnson,NULL,2025-07-02
593,Stephanie Campbell,41777.22,NULL
594,James Mason,67404.29,2025-07-11
595,Mary Cook,65901.77,2024-07-20
596,Eric Miller,75654.64,2024-05-04
597,Bethany Wade,58032.95,2025-04-18
598,Jason Schroeder,40316.17,2023-09-28
599,Bryan Robinson,43771.26,2024-10-06
600,Ian Martinez,NULL,2024-06-29
601,Dan Thompson,25175.96,2024-01-12
602,Rebecca Coffey,13731.45,2024-06-25
603,Rebecca Miller,81181.93,2024-05-06
604,Pamela Miller,67769.61,2023-09-12
605,Eric Sanchez,43816.86,2024-04-11
606,Andrew Wiley,71100.17,2024-07-09
607,Cindy Patterson,33779.22,2025-02-26
608,Brandon Henry,92550.16,2024-07-18
609,Joseph Sanchez,63737.57,2023-12-27
610,Felicia Aguirre,NULL,2025-05-18
611,Anthony Blair,15011.44,2024-03-08
612,Amy Mitchell,42585.64,NULL
613,Patricia Hardin,13350.22,2025-03-10
614,Patrick Davidson,38347.04,2024-07-28
615,Patrick Navarro,97049.76,2023-12-29
616,Jacob Clark,35166.48,2024-02-16
617,Melinda Smith,17413.45,2023-12-11
618,Pamela Wilson DVM,16881.78,2025-05-07
619,Scott Daniels,93016.50,2024-09-20
620,James Washington,78813.98,2024-10-12
621,Seth Carter,68893.20,2023-08-24
622,Andrew Mcfarland,90244.41,2024-02-09
623,Erica Mcbride,76593.63,2024-02-01
624,Daisy Davis,88191.62,2023-10-25
625,Megan Flores,86271.39,2024-01-25
626,Adam Cook,54128.25,2024-12-06
627,Jane Morrison,50342.50,2024-01-22
628,NULL,34150.25,2023-10-06
629,Diane Baker,2296.20,2025-01-12
630,William Johnson,14277.40,2024-04-01
631,Robert Boyle,68919.09,NULL
632,Johnathan Nelson,3884.27,2024-01-28
633,Mark Chase,54407.89,2024-03-23
634,Sara Wilson,9587.92,2025-04-06
635,Brandon Rose,72684.20,2025-03-29
636,Timothy Mooney,86886.42,2024-01-12
637,Heather Allen,88027.08,2025-05-16
638,Diana Watson,76831.88,2025-01-10
639,Jenny Gross,59772.17,2024-10-31
